stemword,times,origin words
enact,7,enacting enactment enacted
antibacteri,7,antibacterial
contributor,7,contributors
postnat,7,postnatally
hepatobiliari,7,hepatobiliary
hiv-uninfect,7,hiv-uninfected
inquiri,7,inquiry inquiries
traumat,7,traumatic traumatized
tacrolimu,7,tacrolimus
mucou,7,mucous
inaccess,7,inaccessible inaccessibility
immune-bas,7,immune-based
ari,7,aries
seroprotect,7,seroprotection
cowork,7,coworker coworkers
covid-posit,7,covid-positive
centralis,7,centralised
multicompon,7,multicomponent
boundari,7,boundaries boundary
mirror,7,mirrored mirroring
epilepsi,7,epilepsy
transcription-medi,7,transcription-mediated
charact,7,characters
passport,7,passports
dilig,7,diligent diligently diligence
co-administr,7,co-administration
dialyz,7,dialyzing dialyzed
unremark,7,unremarkable
ferment,7,fermentation
porou,7,porous
rural,7,rurality
orthodont,7,orthodontic orthodontically orthodontics
justif,7,justification
-posit,7,-positive
mutual,7,mutually
multidimension,7,multidimensional
stomat,7,stomatitis
holiday,7,holidays
mild-moder,7,mild-moderate mild-moderately
export,7,exportations exported exporting exports
mayb,7,maybe
eluat,7,eluates
dictat,7,dictate dictated dictates
autist,7,autistic
voi,7,vois
ramp,7,ramped ramping
sceptic,7,sceptical scepticism sceptics
co-express,7,co-expression co-expressed
shadow,7,shadows shadowing shadowed
kaplan-mei,7,kaplan-meier
dietari,7,dietary
multimod,7,multimodal multimode multimodality
usp,7,usps
endocytosi,7,endocytosis
pre-analyt,7,pre-analytical pre-analytically
instig,7,instigated instigating
interdisciplinari,7,interdisciplinary
well-defin,7,well-defined
syring,7,syringe syringes
multisit,7,multisite
antiretrovir,7,antiretroviral
hdp,7,hdps
perfus,7,perfusion perfused
post-transpl,7,post-transplant
glove,7,gloves gloved
timescal,7,timescale timescales
elisa-bas,7,elisa-based
pangolin,7,pangolins
esophag,7,esophageal
immunity-bas,7,immunity-based
session,7,sessions
second-dos,7,second-dose
unconfirm,7,unconfirmed
nop,7,nops
robustli,7,robustly
macrodomain,7,macrodomains
fortitud,7,fortitude
micronutri,7,micronutrient micronutrients
sum,7,summed sums summing
ioniz,7,ionizable ionizing ionization
pn,7,pns
ingredi,7,ingredient ingredients
dot,7,dots
end-stag,7,end-stage
lod,7,lods
reshap,7,reshape reshaping reshaped
destabil,7,destabilization destabilizing destabilize destabilized
pharmacotherapi,7,pharmacotherapy pharmacotherapies
cost-effici,7,cost-efficient cost-efficiency
tender,7,tenderness
seventy-nin,7,seventy-nine
cardiomyopathi,7,cardiomyopathy cardiomyopathies
twenty-nin,7,twenty-nine
virus-bas,7,virus-based
alkaloid,7,alkaloids
open-end,7,open-ended
cartridg,7,cartridges
non-detect,7,non-detected non-detectable
unsatisfactori,7,unsatisfactory
easy-to-impl,7,easy-to-implement
interven,7,intervene intervening intervenants intervened
metasurfac,7,metasurface
overarch,7,overarching
scaffold,7,scaffolds
festiv,7,festival festivals
rhinolophu,7,rhinolophus
ortho-clin,7,ortho-clinical
biomem,7,biomeme
perfectli,7,perfectly
arsen,7,arsenal
polysaccharid,7,polysaccharides
see,7,seeing
bag,7,bags bagging
phosphate-buff,7,phosphate-buffered
non-hospitalis,7,non-hospitalised
october-novemb,7,october-november
jeopard,7,jeopardizes
biochemistri,7,biochemistry
cost-sav,7,cost-savings
vancouv,7,vancouver
lose,7,losing loses
turbin,7,turbinates
2019-ncov-infect,7,2019-ncov-infected
chamber,7,chambers
non-neutr,7,non-neutralizing
super-spread,7,super-spreading super-spreader super-spreaders
naso-pharyng,7,naso-pharyngal naso-pharyngeal
rollout,7,rollouts
geospati,7,geospatial geospatially
disagr,7,disagreements
otorhinolaryngolog,7,otorhinolaryngological otorhinolaryngology
li,7,lis
dc,7,dcs
polyfunct,7,polyfunctional
trustworthi,7,trustworthy trustworthiness
lfd,7,lfds
pneumonia-lik,7,pneumonia-like
colorect,7,colorectal
bypass,7,bypassing bypasses
endeavor,7,endeavoring endeavors
postexposur,7,postexposure
truli,7,truly
fold,6,folds folded folding
perfor,6,perforation perforated
director,6,directorate directors
cross-countri,6,cross-country
inclin,6,incline inclination inclined
virus-infect,6,virus-infected
first-tim,6,first-time
non-clin,6,non-clinical
populac,6,populaces
neuropatholog,6,neuropathological neuropathology
formerli,6,formerly
rbd,6,rbds
recept,6,reception receptive receptiveness
maximis,6,maximised maximises
programmat,6,programmatically
structure-funct,6,structure-function
cultiv,6,cultivable cultivation cultivating cultivate
wearer,6,wearers
insignific,6,insignificant
antineoplast,6,antineoplastic
hourli,6,hourly
bioanalyt,6,bioanalytical bioanalytes
democraci,6,democracy democracies
serodiagnost,6,serodiagnostics
20a,6,20as
spark,6,sparked sparking
modestli,6,modestly
methotrex,6,methotrexate
dysbiosi,6,dysbiosis
hedon,6,hedonics
bird,6,birds
sub-strain,6,sub-strains
chemoprophylaxi,6,chemoprophylaxis
pre-exposur,6,pre-exposure
lav,6,lavs
overcrowd,6,overcrowding overcrowded
inequit,6,inequitable
accupow,6,accupower
post-market,6,post-marketing
reconsid,6,reconsidered
unprotect,6,unprotected
late-stag,6,late-stage
forens,6,forensic forensics
habit,6,habits habitant
throat/nas,6,throat/nasal
endang,6,endangered endangering
abrog,6,abrogated abrogation
culmin,6,culminating culminated culminates
fortnightli,6,fortnightly
taskforc,6,taskforce
propoli,6,propolis
phsm,6,phsms
microangiopathi,6,microangiopathy
grappl,6,grapple grappling grapples
crrna,6,crrnas
array,6,arrays
imid,6,imids
convey,6,conveyed conveys conveyances
scrutini,6,scrutiny
restart,6,restarting restarted
filler,6,fillers
eighty-nin,6,eighty-nine
omit,6,omitting omitted omits
willingness-to-particip,6,willingness-to-participate
biliari,6,biliary
evacue,6,evacuees
pharmacoepidemiolog,6,pharmacoepidemiology pharmacoepidemiological
apoptosi,6,apoptosis
propel,6,propelled propels
infodem,6,infodemic
trip,6,trips
ultrasonograph,6,ultrasonographic
multifactori,6,multifactorial
post-exposur,6,post-exposure
dmard,6,dmards
suddenli,6,suddenly
vircel,6,vircell
graviti,6,gravity
negativis,6,negativisation negativisate
entropi,6,entropy
hypox,6,hypoxic
desper,6,desperate desperately
bunch,6,bunching
insensit,6,insensitive insensitivity
chaperon,6,chaperone chaperones
minist,6,minister
eudravigil,6,eudravigilance
meticul,6,meticulous meticulously
anecdot,6,anecdotal anecdotally
post-pandem,6,post-pandemic
flu-vaccin,6,flu-vaccination flu-vaccinated
expenditur,6,expenditure
nudg,6,nudges
countries/region,6,countries/regions
black,6,blacks
spatiotempor,6,spatiotemporal
pack,6,packed packing
taste/smel,6,taste/smell
coincident,6,coincidental coincidentally
hacw,6,hacws
haemorrhag,6,haemorrhage
banknot,6,banknotes
cigarett,6,cigarette cigarettes
urogenit,6,urogenital
glycopeptid,6,glycopeptides
villag,6,villages
co-pathogen,6,co-pathogens
stressor,6,stressors
oximetri,6,oximetry
adjac,6,adjacent
ascrib,6,ascribed ascribes
misconcept,6,misconceptions
fitness-to-fli,6,fitness-to-fly
prohibit,6,prohibiting prohibitively prohibited
embrac,6,embrace embracing
microspher,6,microspheres
goggl,6,goggles
epigenet,6,epigenetic
staphylococcu,6,staphylococcus
citat,6,citations
multisystem,6,multisystemic
rage,6,raging raged rages
actor,6,actors
neurologist,6,neurologists
biodegrad,6,biodegradable biodegradability biodegradation
redeploy,6,redeploying redeployments redeployed
law,6,laws
sulfat,6,sulfate sulfated
unmatch,6,unmatched
procoagul,6,procoagulative procoagulant
pan-coronaviru,6,pan-coronavirus
mid-januari,6,mid-january
rhinoviru,6,rhinovirus
uninsur,6,uninsured
re-open,6,re-opening
deconvolut,6,deconvolution deconvoluted
sensibl,6,sensible sensibility
biomimet,6,biomimetic
blockad,6,blockade blockades
sarbecovirus,6,sarbecoviruses
prenat,6,prenatal
movac-covid19,6,movac-covid19s
high-volum,6,high-volume
reaction-bas,6,reaction-based
intercal,6,intercalating
gastroenter,6,gastroenteritis
nanocarri,6,nanocarriers
co-work,6,co-worker co-workers
fast-track,6,fast-tracked fast-tracking
age-structur,6,age-structured
hospital-acquir,6,hospital-acquired
misdiagnos,6,misdiagnosing misdiagnosed misdiagnoses
contradictori,6,contradictory
case-person,6,case-persons
biocompat,6,biocompatibility biocompatible
bronchiol,6,bronchiolitis
cep,6,ceps
reorgan,6,reorganization reorganized reorganizes
elecsys-n/elecsys-,6,elecsys-n/elecsys-s
triplic,6,triplicate
point-preval,6,point-prevalence
phylogeograph,6,phylogeographic
development,6,developmental
explanatori,6,explanatory
oropharyngeal-nas,6,oropharyngeal-nasal
opioid,6,opioids
nhp,6,nhps
enos,6,enoses
rotat,6,rotating rotational rotated
freez,6,freezing freeze
organoid,6,organoids
catalyt,6,catalytic
brazilian,6,brazilians
monolay,6,monolayers
va,6,vas
nineti,6,ninety
gaug,6,gauged gauging
long-liv,6,long-lived
expediti,6,expeditiously
binder,6,binders
cec,6,cecs
facemask,6,facemasks
perturb,6,perturbation perturbations
registrar,6,registrars
double-membran,6,double-membrane
artesun,6,artesunate
envis,6,envision envisioned
amp,6,amps
chromatograph,6,chromatographic
lhu,6,lhus
revolution,6,revolutionizing revolutionized
forty-on,6,forty-one
squamou,6,squamous
clinic-bas,6,clinic-based
hypercub,6,hypercube hypercubes
single-blind,6,single-blinded
'coronaviru,6,'coronavirus
erythematosu,6,erythematosus
cut-off,6,cut-offs
subclad,6,subclades
high-prior,6,high-priority
nanocag,6,nanocage nanocages
window,6,windows
sgrna,6,sgrnas
non-essenti,6,non-essential
november-decemb,6,november-december
leagu,6,leagues
co-exist,6,co-existing co-existence
transduc,6,transducer transducers transduced
unreli,6,unreliable unreliability
technologist,6,technologists
on-campu,6,on-campus
exagger,6,exaggerated
amazona,6,amazonas
reevalu,6,reevaluated reevaluating reevaluation
unequivoc,6,unequivocally
artifact,6,artifacts
multifunct,6,multifunctional
misus,6,misuse
funder,6,funders
provision,6,provisional provisionally
nr,6,nrs
maternal-fet,6,maternal-fetal
negat,6,negation negate negating negated
april-jun,6,april-june
unintent,6,unintentionally
disposit,6,disposition dispositions
vaccination-rel,6,vaccination-related
pre-admiss,6,pre-admission
periodont,6,periodontal periodontitis
guanidin,6,guanidine
shot,6,shots
lebanes,6,lebanese
ramif,6,ramifications
dread,6,dreadful dreaded
plasmid,6,plasmids
sensori,6,sensory
cellulos,6,cellulose
follicl,6,follicle follicles
shop,6,shopping shops
venipunctur,6,venipuncture
unrecogn,6,unrecognized
unintend,6,unintended
ifn,6,ifns
biophys,6,biophysical biophysics
thoraciqu,6,thoracique
volatil,6,volatile
patient-specif,6,patient-specific
sars-cov,6,sars-covs
onsit,6,onsite
ensu,6,ensuing ensued
board,6,boarding boards boarded
obviat,6,obviate obviating obviated
ruptur,6,ruptured
onward,6,onwards
well-toler,6,well-tolerated
oncologist,6,oncologists
endur,6,enduring endured
toilet,6,toilets
subset,6,subsets
conduc,6,conducive conducing
autonomi,6,autonomy
titerscap,6,titerscape
ceas,6,cease ceases ceased
repercuss,6,repercussions
quench,6,quenched quenching
unfraction,6,unfractionated
alzheim,6,alzheimer
twenty-f,6,twenty-five
privaci,6,privacy
referenc,6,referenced referencing
attitudin,6,attitudinal
fetus,6,fetuses
myth,6,myths
finit,6,finite
ot,6,ots
stock,6,stocks
oversampl,6,oversampled oversampling oversamples
fairli,6,fairly
spreader,6,spreaders
near-pati,6,near-patient
unmask,6,unmasked unmasking
parasit,6,parasitic parasites
dmt,6,dmts
sars-2-,6,sars-2-s
biosecur,6,biosecurity biosecure
-approv,6,-approved -approval
paralysi,6,paralysis
vasculopathi,6,vasculopathy
timepoint,6,timepoints
unev,6,uneventfully
pilot,6,piloted
appeal,6,appeals appealing
sacrif,6,sacrificing sacrificed
famotidin,6,famotidine
choroid,6,choroidal choroiditis
pwd,6,pwds
rinse/gargl,6,rinse/gargle
fifty-nin,6,fifty-nine
field-deploy,6,field-deployable
agil,6,agile agilent
spend,6,spending
unexplor,6,unexplored
netizen,6,netizens
first-gener,6,first-generation
psychosi,6,psychosis
billion,6,billions
self-amplifi,6,self-amplifying
neuropsychiatr,6,neuropsychiatric
ultrasonographi,6,ultrasonography
uncomfort,6,uncomfortable
antisens,6,antisense
β-coronavirus,6,β-coronaviruses
vedi,6,vedis
regen,6,regenerative
cation,6,cationic cations cationically
non-diabet,6,non-diabetic
time-seri,6,time-series
vrdl,6,vrdls
fact,6,facts
loom,6,looming loomed
herpesvirus,6,herpesviruses
bud,6,budding buds
parsimoni,6,parsimonious parsimony
elit,6,elite elites
nicotin,6,nicotine
naked-ey,6,naked-eye
biweekli,6,biweekly
didact,6,didactic didactics
expedi,6,expedient expediate expediated
sweep,6,sweeping sweeps
hydrolas,6,hydrolase
aquat,6,aquatic
hemodynam,6,hemodynamic hemodynamically
pop,6,pops
stabli,6,stably
kruskal-w,6,kruskal-wallis
hc,6,hcs
e-cigarett,6,e-cigarette e-cigarettes
ndd,6,ndds
reus,6,reused reuses
c-termin,6,c-terminal
related,6,relatedness
5-sampl,6,5-sample
lft,5,lfts
patient-report,5,patient-reported
leucocyt,5,leucocyte leucocytes
scrutinis,5,scrutinise scrutinised
fluorophor,5,fluorophore fluorophores
deceler,5,decelerating decelerations decelerate
expector,5,expectoration
intuit,5,intuitive intuitively intuition
alveolospher,5,alveolosphere alveolospheres
n-link,5,n-linked
infection-to-deliveri,5,infection-to-delivery
control-pati,5,control-patients
weak-posit,5,weak-positive
bovin,5,bovine
myositi,5,myositis
disembark,5,disembarking disembarked disembarkation
diversifi,5,diversified diversifying
bat-deriv,5,bat-derived
debilit,5,debilitated debilitating debilitation debilitates
pandemic-rel,5,pandemic-related
bio,5,bios
ipf,5,ipfs
dose-depend,5,dose-dependent
acute/subacut,5,acute/subacute
electrostat,5,electrostatic
psychiatrist,5,psychiatrists
chip,5,chips
best-cas,5,best-case
canadian,5,canadians
raa,5,raas
inmat,5,inmates
empow,5,empowers empowered empowering
defeat,5,defeating defeated
nanoscal,5,nanoscale
ancestor,5,ancestors
exam,5,exams
predetermin,5,predetermined
deactiv,5,deactivating deactivation deactivate
lamp-bas,5,lamp-based
irrelev,5,irrelevant
weapon,5,weapons
extub,5,extubated extubation
recurs,5,recursive
refut,5,refute refuted refuting
quintil,5,quintiles
localis,5,localisations localising localised
invis,5,invisibility invisible
inconveni,5,inconvenience inconvenient
clarif,5,clarification
ad26-bas,5,ad26-based
emuls,5,emulsion
disease-specif,5,disease-specific
financ,5,financing financed
stool,5,stools
true-posit,5,true-positive
second,5,seconds
vaccine-specif,5,vaccine-specific
endeavour,5,endeavours endeavouring
meteorolog,5,meteorology meteorological
unextract,5,unextracted
detach,5,detachment detachments
monom,5,monomers
rbd-base,5,rbd-based
win,5,winning
non-pharmacolog,5,non-pharmacological
scl,5,scls
nanofib,5,nanofiber
unequ,5,unequal unequally
second-lin,5,second-line
republican,5,republicans
page,5,pages
community-dwel,5,community-dwelling
