stemword,origin words
autoimmune/inflammatori,autoimmune/inflammatory
postvaccin,postvaccination postvaccinal
subacut,subacute
thyroid,thyroiditis
breastfeed,breastfeeding
inact,inactive inaction
sport,sports sporting
non-profession,non-professional
footbal,football
1-physic,1-physical
high-intens,high-intensive high-intensity
currently-in-us,currently-in-use
epitope-bas,epitope-based
eitvatsrtl,eitvatsrtls
informat,informatics
sirna-bas,sirna-based
fda-approv,fda-approved
docking-bas,docking-based
host-viru,host-virus
cell-penetr,cell-penetrating
sporad,sporadic
launch,launching launched launches
lock,locking locked locks
crise,crises
obscur,obscure obscured
outlet,outlets
defici,deficiency deficient deficiencies
tend,tended tends
guanidin,guanidine
isothiocyan,isothiocyanate
roll-out,roll-outs
unexplain,unexplained
pro,pros
con,cons
schemat,schematically
antagonist,antagonistic antagonists
oscil,oscillating oscillations
societ,societal
game-chang,game-changer game-changing
mainten,maintenance
gestur,gestures
6-month,6-months
cloud,clouds
satisfi,satisfied satisfy satisfying satisfies
diamet,diameter diameters
bioaerosol,bioaerosols
resumpt,resumption
basketbal,basketball
infer,inferred inferences inferring
epistemolog,epistemological
flu-lik,flu-like
negat,negation negate negating negated
constru,construe
disconfirm,disconfirms
caveat,caveats
dens,densely
high-transmiss,high-transmission
neighbourhood,neighbourhoods
anti-sever,anti-severe
biologist,biologists
artifact,artifacts
retrain,retrained
binari,binary
reevalu,reevaluated reevaluating reevaluation
preanalysi,preanalysis
prepossess,prepossessing
neglig,negligible
buffer,buffers buffering buffered
biosaf,biosafe
system.method,system.methods
standard.result,standard.results
cases.conclus,cases.conclusion
spars,sparse sparsely
simpli,simply
distinct,distinctive distinction distinctions distinctively
re-configur,re-configured
amen,amenable
dispers,dispersed dispersion dispersal dispersions
element,elements
german,germane
stimulu,stimulus
lu,lus
annual,annually
non-contrast-enhanc,non-contrast-enhanced
ncct,nccts
immune-assay,immune-assays
congruenc,congruence
sizeabl,sizeable
uncompl,uncomplicated
remodel,remodeling remodeled remodelling
mrna-bas,mrna-based
toll,tolls
properli,properly
non-neutr,non-neutralizing
poorli,poorly
protein-bas,protein-based
carriag,carriage
preappoint,preappointment
appoint,appointment appointments appointed
asymptomatic-screen,asymptomatic-screened
medium-contain,medium-containing
lighthous,lighthouse
commensur,commensurate commensurately
stream,streams streaming
remind,reminder reminders reminded reminds
vigil,vigilance vigilant
quanti,quanty
nasal/oropharyng,nasal/oropharyngeal
truli,truly
pcr,pcrs
primary/secondari,primary/secondary
noninvas,noninvasive noninvasiveness noninvasively
insecur,insecurity
undefin,undefined
deduc,deduce deduced
sensibl,sensible sensibility
lfd,lfds
summaris,summarise summarised summarises summarising
self-swab,self-swabbing
scale,scaling scales scaled
antigens-spik,antigens-spike
-simultan,-simultaneously
interferon-γ-induc,interferon-γ-induced interferon-γ-inducing interferon-γ-inducible
climb,climbed climbing
high-precis,high-precision
cost-effici,cost-efficient cost-efficiency
wast,waste wasted wastes wasting
dropout,dropouts
preferenti,preferential preferentially
dwell,dwelling
shortli,shortly
re-detect,re-detectable
juvenil,juveniles
post-discharg,post-discharge
attende,attendees
traine,trainees
locu,locus
first-lin,first-line
inher,inherent inherently
sola,solas
shelf-stabl,shelf-stable
lyophil,lyophilized lyophilization
sunnyval,sunnyvale
multiply-mut,multiply-mutated
immunodefici,immunodeficiency immunodeficiencies immunodeficient
interrel,interrelated
multicent,multicenter
meningitidi,meningitidis
vesicl,vesicles
omv,omvs
immunostimulatori,immunostimulatory
unconfirm,unconfirmed
nineti,ninety
seventy-f,seventy-five
seventy-nin,seventy-nine
participant-collect,participant-collected
idealist,idealistic
counter-product,counter-productive
timeli,timeliness
crazi,crazy
pave,paving paves
fibrosi,fibrosis
nodul,nodules
hinder,hindered hindering hinders
organoid,organoids
province-scal,province-scale
fully-autom,fully-automated
clear,clearing cleared clears
supect,supected
non-exist,non-existent
sars-cov-2-rel,sars-cov-2-related
latrin,latrine latrines
flush,flushing
contributori,contributory
fecal-or,fecal-oral
act,acting acted acts
poverti,poverty
trade-off,trade-offs
risk-bas,risk-based
lifesav,lifesaving
toxicologist,toxicologists
pathologist,pathologists
nonclin,nonclinical
primary-car,primary-care
young-to-middle-ag,young-to-middle-aged
nursing-hom,nursing-home
deconfin,deconfinement
hospital-b,hospital-bed
alloc,allocation allocated allocative allocating allocations
sansur,sansure
biotechnolog,biotechnology biotechnological
alli,ally allied allies
hardwar,hardware
bottleneck,bottlenecks
non-med,non-medical
biology-rel,biology-related
lab,labs
certifi,certified certifies certifying
fast-act,fast-acting
certif,certification certificates certificated
myocard,myocarditis
myopericard,myopericarditis
nonsteroid,nonsteroidal
antiinflammatori,antiinflammatory
unmatch,unmatched
n-termin,n-terminal n-terminally
overrepres,overrepresented
coalit,coalition coalitions
insert,inserting insertion insertions inserted inserts
cooper,cooperating cooperation cooperate cooperative
registrar,registrars
warden,wardens
thirty-nin,thirty-nine
ectoenzym,ectoenzyme
abort,abortive abortion aborted
unansw,unanswered
block,blocking blocks blocked
liposom,liposomal liposomes
flavonoid,flavonoids
vehement,vehemently
readi,ready readiness readying
answer,answers answered answering
pseudotyp,pseudotyped pseudotypes
alleg,alleged allegations
one-sid,one-sided
serious,seriously seriousness
coexist,coexistence coexisting coexists
psycholog,psychological psychology
auxiliari,auxiliary
so-approv,so-approved
catapult,catapulted
injection-sit,injection-site
massachusett,massachusetts
multistag,multistage
asymmetr,asymmetric
shape,shaped shaping shapes
correctli,correctly
psychobehavior,psychobehavioral
january-septemb,january-september
self-suscept,self-susceptibility
complac,complacency complacent
tendenc,tendency tendencies
foretel,foretells
aquir,aquire aquired
electrochemiluminisc,electrochemiluminiscence
physican,physicans
unawar,unaware
fisher´,fisher´s
sap-bas,sap-based
roughli,roughly
replication-incompet,replication-incompetent
evad,evade evading evades
impress,impressive impressions
credit,credited
partnership,partnerships
use-author,use-authorized
billion,billions
ease-of-us,ease-of-use
antigen-detect,antigen-detecting antigen-detection
multi-centr,multi-centre
study-exclus,study-exclusive
np/oropharyng,np/oropharyngeal
sub-analys,sub-analyses
su,sus
ct-valu,ct-values
breath,breathing
talk,talking talked talks
exhal,exhaled exhales exhalation
polym,polymer polymers
oxidation-reduct,oxidation-reduction
h2o2/tetrametylbenzidin,h2o2/tetrametylbenzidine
peroxidas,peroxidase
turn-ov,turn-over
trait,traits
sewag,sewage
uk-vari,uk-variant
mid-februari,mid-february
2020-januari,2020-january
school-associ,school-associated
seat,seats seated
classroom,classrooms
inabl,inability
sars-cov-2-spike-encod,sars-cov-2-spike-encoding
nucleoside-modifi,nucleoside-modified
agil,agile agilent
high-sensit,high-sensitivity high-sensitive
chromacod,chromacode
cv,cvs
screening/surveil,screening/surveillance
stratif,stratification stratifications
branch,branching branches branched
divis,divisions divisive
re-pool,re-pooling
cross-institut,cross-institutional
igg-posit,igg-positive igg-positivity
clinical-laboratori,clinical-laboratory
standard-of-car,standard-of-care
time-point,time-points
pend,pending
probabilist,probabilistic probabilistically
indiscrimin,indiscriminate
cell-fre,cell-free
antigen-encod,antigen-encoding
self-amplifi,self-amplifying
rabi,rabies
covid-19-fre,covid-19-free
destin,destination
crew,crews
departur,departure
voyag,voyage voyages
ambidirect,ambidirectional
kruskal-w,kruskal-wallis
agility/dynam,agility/dynamic
'placent,'placental
monochorion,monochorionic
diamniot,diamniotic
twin,twins twinning
dichorion,dichorionic
miscarriag,miscarriage miscarriages
concret,concrete concretization
deceas,deceased
excis,excision
cornea,corneas
asymptomatic/undetect,asymptomatic/undetected
seemingli,seemingly
ifr,ifrs
corrections/adjust,corrections/adjustments
violat,violations violate violates
inflat,inflated
perus,perusal
america,americas
problemat,problematic
pet,pets
owner,owners
bueno,buenos
air,aires
benefits-avert,benefits-averting
slowli,slowly
deleteri,deleterious
swiftli,swiftly
purg,purged
stasi,stasis
'variant,'variants
contextu,contextualizing contextualized
dataset,datasets
rat,rats
afia,afias
subdivid,subdivided
cut-off-indic,cut-off-indices
7-day,7-days
gradual,gradually
22-day,22-days
.sensit,.sensitivity
intervb,intervbal
multi-epitop,multi-epitope
linker,linkers
toll-lik,toll-like
augment,augmented augmentation augmenting
silico-bas,silico-based
bystand,bystander
nucleas,nuclease nucleases
amplicon-target,amplicon-targeting
sacrif,sacrificing sacrificed
obviat,obviate obviating obviated
pilot,piloted
low-barri,low-barrier
symptom-trigg,symptom-triggered
exposure-trigg,exposure-triggered
synergi,synergy synergies
student-friendli,student-friendly
confidenti,confidential confidentiality
consequence-fre,consequence-free
incentive-bas,incentive-based
oncologist,oncologists
island,islands islander
unfeas,unfeasible
preserv,preserving preserved preservation preserves preservative
platform-bas,platform-based
onward,onwards
high-confid,high-confidence
english-languag,english-language
researchg,researchgate
'cutan,'cutaneous
'dermatolog,'dermatologic 'dermatology
'manifest,'manifestation
'lesion,'lesions
dermatolog,dermatological dermatology
varicella-lik,varicella-like
purpuric/petechi,purpuric/petechial
urticari,urticarial
erupt,eruption eruptions erupted
prescrib,prescribed prescribing
psoriasi,psoriasis
atop,atopic
dermat,dermatitis
eighty-f,eighty-five
afterward,afterwards
disclos,disclosed disclosing discloses
bronchoscopi,bronchoscopy bronchoscopies
linkag,linkage linkages
non-intub,non-intubated
60,60s
necessarili,necessarily
milwauke,milwaukee
cancer,cancers cancerous
underscor,underscores underscoring underscored
supersed,supersede
bronchoscop,bronchoscopic
proceduralist,proceduralists
percept,perception perceptions perceptibly perceptible
tsunam,tsunamic
saltatori,saltatory
ignor,ignore ignoring ignorance ignored
coronavir,coronaviral
intrahospit,intrahospital
positive-strand,positive-stranded
multiwav,multiwave
delta-plu,delta-plus
lie,lies
irrespect,irrespective
tender,tenderness
bullou,bullous
diphtheria-tetanus-pertussi,diphtheria-tetanus-pertussis
guyanes,guyanese
unev,uneventfully
blister,blistering
arm,arms armed
leg,legs
violac,violaceous
demarc,demarcated
thigh,thighs
bulla,bullae
buttock,buttocks
erod,eroded
stiff,stiffness
biopsi,biopsy biopsies
epiderm,epidermal
mucou,mucous
fix,fixed fixatives
lab-develop,lab-developed
freeze-thaw,freeze-thawing
lysi,lysis
additon,additonally
oro-/nasopharyng,oro-/nasopharyngeal
secur,security securing secured secures securities
multiepitop,multiepitope
shortlist,shortlisted
hla-bind,hla-binding
non-allergen,non-allergenic non-allergenicity
codon,codons
nook,nooks
corner,corners
formaldehyd,formaldehyde
toxicolog,toxicology
counsel,counseling counseled counselling counselled
gynecologist,gynecologists
napl,naples
ospedal,ospedale
neonatolog,neonatology
chi-squar,chi-square chi-squared
refus,refuse refusal refusing refused refusers refuses refusals
obstetrician,obstetricians
28-day,28-days
smoker,smokers
saturation/fract,saturation/fraction
d-dimer,d-dimers
nt,nts
micro-neutralis,micro-neutralisation
